x,y,z,grid_size,area
657010.3593,961275.0,1394.6967,30.0,900.0
657010.3593,961245.0,1394.9369,30.0,900.0
657010.3593,961215.0,1395.0439,30.0,900.0
657010.3593,961185.0,1395.1095,30.0,900.0
657010.3593,961155.0,1394.8472,30.0,900.0
657010.3593,961125.0,1394.9011,30.0,900.0
657010.3593,961095.0,1395.0483,30.0,900.0
657010.3593,961065.0,1395.2025,30.0,900.0
657010.3593,961035.0,1395.0001,30.0,900.0
657010.3593,961005.0,1394.9562,30.0,900.0
657010.3593,960975.0,1395.0437,30.0,900.0
657010.3593,960945.0,1395.1312,30.0,900.0
657010.3593,960915.0,1395.2189,30.0,900.0
657010.3593,960885.0,1395.2966,30.0,900.0
657010.3593,960855.0,1395.3307,30.0,900.0
657010.3593,960825.0,1395.3536,30.0,900.0
657010.3593,960795.0,1395.4791,30.0,900.0
657010.3593,960765.0,1395.7363,30.0,900.0
657010.3593,960735.0,1395.2871,30.0,900.0
657010.3593,960705.0,1391.6797,30.0,900.0
657010.3593,960675.0,1391.5002,30.0,900.0
657010.3593,960645.0,1391.7177,30.0,900.0
657010.3593,960615.0,1392.024,30.0,900.0
657010.3593,960585.0,1391.6444,30.0,900.0
657010.3593,960555.0,1392.2319,30.0,900.0
657010.3593,960525.0,1392.2057,30.0,900.0
657010.3593,960495.0,1391.6782,30.0,900.0
657010.3593,960465.0,1391.9261,30.0,900.0
657010.3593,960435.0,1392.231,30.0,900.0
657010.3593,960405.0,1392.4789,30.0,900.0
657010.3593,960375.0,1392.5348,30.0,900.0
657010.3593,960345.0,1392.7942,30.0,900.0
657010.3593,960315.0,1392.803,30.0,900.0
657010.3593,960285.0,1392.9116,30.0,900.0
657010.3593,960255.0,1393.1428,30.0,900.0
657010.3593,960225.0,1393.2727,30.0,900.0
657010.3593,960195.0,1393.2697,30.0,900.0
657010.3593,960165.0,1393.2502,30.0,900.0
657010.3593,960135.0,1393.189,30.0,900.0
657010.3593,960105.0,1392.6212,30.0,900.0
657010.3593,960075.0,1392.0087,30.0,900.0
657010.3593,960045.0,1391.6984,30.0,900.0
657010.3593,960015.0,1389.3854,30.0,900.0
657010.3593,959985.0,1387.3541,30.0,900.0
657010.3593,959955.0,1387.703,30.0,900.0
657010.3593,959925.0,1390.7069,30.0,900.0
657010.3593,959895.0,1392.0565,30.0,900.0
657010.3593,959865.0,1392.2335,30.0,900.0
657010.3593,959835.0,1392.4795,30.0,900.0
657010.3593,959805.0,1393.3419,30.0,900.0
657010.3593,959775.0,1393.9716,30.0,900.0
657010.3593,959745.0,1393.9355,30.0,900.0
657010.3593,959715.0,1393.7454,30.0,900.0
657010.3593,959685.0,1393.5049,30.0,900.0
657010.3593,959655.0,1393.2515,30.0,900.0
657010.3593,959625.0,1392.6809,30.0,900.0
657010.3593,959595.0,1391.6681,30.0,900.0
657010.3593,959565.0,1390.6526,30.0,900.0
657010.3593,959535.0,1390.2653,30.0,900.0
657010.3593,959505.0,1389.4636,30.0,900.0
657010.3593,959475.0,1388.7621,30.0,900.0
657010.3593,959445.0,1387.4337,30.0,900.0
657010.3593,959415.0,1381.9678,30.0,900.0
657010.3593,959385.0,1378.4215,30.0,900.0
657010.3593,959355.0,1376.1589,30.0,900.0
657010.3593,959325.0,1376.8129,30.0,900.0
657010.3593,959295.0,1379.0253,30.0,900.0
657010.3593,959265.0,1384.6492,30.0,900.0
657010.3593,959235.0,1388.9155,30.0,900.0
657010.3593,959205.0,1389.4062,30.0,900.0
657010.3593,959175.0,1389.1737,30.0,900.0
657010.3593,959145.0,1388.9434,30.0,900.0
657010.3593,959115.0,1388.7694,30.0,900.0
657010.3593,959085.0,1388.6152,30.0,900.0
657010.3593,959055.0,1388.6218,30.0,900.0
657010.3593,959025.0,1388.8126,30.0,900.0
657010.3593,958995.0,1389.625,30.0,900.0
657010.3593,958965.0,1390.1694,30.0,900.0
657010.3593,958935.0,1390.6185,30.0,900.0
657040.3593,963885.0,1406.2654,4950.0,24502500.0
657040.3593,963855.0,1406.28,30.0,900.0
657040.3593,963825.0,1405.0868,30.0,900.0
657040.3593,963795.0,1404.9614,30.0,900.0
657040.3593,963765.0,1405.8292,30.0,900.0
657040.3593,963735.0,1405.9697,30.0,900.0
657040.3593,963705.0,1405.5625,30.0,900.0
657040.3593,963675.0,1403.7882,30.0,900.0
657040.3593,963645.0,1403.77,30.0,900.0
657040.3593,963615.0,1403.7041,30.0,900.0
657040.3593,963585.0,1403.5555,30.0,900.0
657040.3593,963555.0,1403.5302,30.0,900.0
657040.3593,963525.0,1403.5409,30.0,900.0
657040.3593,963495.0,1403.2421,30.0,900.0
657040.3593,963465.0,1402.9493,30.0,900.0
657040.3593,963435.0,1402.9381,30.0,900.0
657040.3593,963405.0,1402.9088,30.0,900.0
657040.3593,963375.0,1402.8435,30.0,900.0
657040.3593,963345.0,1401.9427,30.0,900.0
657040.3593,963315.0,1401.8835,30.0,900.0
657040.3593,963285.0,1401.9319,30.0,900.0
657040.3593,963255.0,1401.8345,30.0,900.0
657040.3593,963225.0,1399.0817,30.0,900.0
657040.3593,963195.0,1399.3737,30.0,900.0
657040.3593,963165.0,1399.4937,30.0,900.0
657040.3593,963135.0,1399.0825,30.0,900.0
657040.3593,963105.0,1399.5969,30.0,900.0
657040.3593,963075.0,1398.5963,30.0,900.0
657040.3593,963045.0,1396.4456,30.0,900.0
657040.3593,963015.0,1397.3782,30.0,900.0
657040.3593,962985.0,1397.4542,30.0,900.0
657040.3593,962955.0,1397.2618,30.0,900.0
657040.3593,962925.0,1396.9319,30.0,900.0
657040.3593,962895.0,1397.2159,30.0,900.0
657040.3593,962865.0,1396.8982,30.0,900.0
657040.3593,962835.0,1396.788,30.0,900.0
657040.3593,962805.0,1396.8943,30.0,900.0
657040.3593,962775.0,1396.5188,30.0,900.0
657040.3593,962745.0,1396.3228,30.0,900.0
657040.3593,962715.0,1396.3441,30.0,900.0
657040.3593,962685.0,1396.3994,30.0,900.0
657040.3593,962655.0,1396.1561,30.0,900.0
657040.3593,962625.0,1395.9216,30.0,900.0
657040.3593,962595.0,1395.6158,30.0,900.0
657040.3593,962565.0,1394.8369,30.0,900.0
657040.3593,962535.0,1395.6923,30.0,900.0
657040.3593,962505.0,1393.6133,30.0,900.0
657040.3593,962475.0,1392.6117,30.0,900.0
657040.3593,962445.0,1392.3856,30.0,900.0
657040.3593,962415.0,1392.2274,30.0,900.0
657040.3593,962385.0,1391.8729,30.0,900.0
657040.3593,962355.0,1391.2192,30.0,900.0
657040.3593,962325.0,1390.3424,30.0,900.0
657040.3593,962295.0,1388.196,30.0,900.0
657040.3593,962265.0,1386.6917,30.0,900.0
657040.3593,962235.0,1385.8625,30.0,900.0
657040.3593,962205.0,1385.405,30.0,900.0
657040.3593,962175.0,1385.1527,30.0,900.0
657040.3593,962145.0,1384.7264,30.0,900.0
657040.3593,962115.0,1384.4213,30.0,900.0
657040.3593,962085.0,1384.3553,30.0,900.0
657040.3593,962055.0,1384.1217,30.0,900.0
657040.3593,962025.0,1383.5712,30.0,900.0
657040.3593,961995.0,1383.2273,30.0,900.0
657040.3593,961965.0,1383.0988,30.0,900.0
657040.3593,961935.0,1382.8774,30.0,900.0
657040.3593,961905.0,1382.9059,30.0,900.0
657040.3593,961875.0,1382.7908,30.0,900.0
657040.3593,961845.0,1382.6716,30.0,900.0
657040.3593,961815.0,1382.5664,30.0,900.0
657040.3593,961785.0,1382.8,30.0,900.0
657040.3593,961755.0,1383.8727,30.0,900.0
657040.3593,961725.0,1387.3549,30.0,900.0
657040.3593,961695.0,1392.4974,30.0,900.0
657040.3593,961665.0,1394.5602,30.0,900.0
657040.3593,961635.0,1394.5916,30.0,900.0
657040.3593,961605.0,1394.5551,30.0,900.0
657040.3593,961575.0,1394.2015,30.0,900.0
657040.3593,961545.0,1392.9745,30.0,900.0
657040.3593,961515.0,1389.4821,30.0,900.0
657040.3593,961485.0,1392.0447,30.0,900.0
657040.3593,961455.0,1392.5784,30.0,900.0
657040.3593,961425.0,1392.8795,30.0,900.0
657040.3593,961395.0,1393.2935,30.0,900.0
657040.3593,961365.0,1393.6663,30.0,900.0
657040.3593,961335.0,1394.0653,30.0,900.0
657040.3593,961305.0,1394.5179,30.0,900.0
657040.3593,961275.0,1395.1271,30.0,900.0
657040.3593,961245.0,1395.3248,30.0,900.0
657040.3593,961215.0,1395.3137,30.0,900.0
657040.3593,961185.0,1395.2893,30.0,900.0
657040.3593,961155.0,1394.8676,30.0,900.0
657040.3593,961125.0,1394.6151,30.0,900.0
657040.3593,961095.0,1394.7798,30.0,900.0
657040.3593,961065.0,1394.9399,30.0,900.0
657040.3593,961035.0,1394.9194,30.0,900.0
657040.3593,961005.0,1394.9728,30.0,900.0
657040.3593,960975.0,1395.0604,30.0,900.0
657040.3593,960945.0,1395.1479,30.0,900.0
657040.3593,960915.0,1395.2354,30.0,900.0
657040.3593,960885.0,1395.3217,30.0,900.0
657040.3593,960855.0,1395.4064,30.0,900.0
657040.3593,960825.0,1395.4893,30.0,900.0
657040.3593,960795.0,1395.5704,30.0,900.0
657040.3593,960765.0,1395.6404,30.0,900.0
657040.3593,960735.0,1395.0903,30.0,900.0
657040.3593,960705.0,1391.5908,30.0,900.0
657040.3593,960675.0,1391.428,30.0,900.0
657040.3593,960645.0,1391.5028,30.0,900.0
657040.3593,960615.0,1392.1156,30.0,900.0
657040.3593,960585.0,1391.9048,30.0,900.0
657040.3593,960555.0,1392.4357,30.0,900.0
657040.3593,960525.0,1392.4039,30.0,900.0
657040.3593,960495.0,1391.9373,30.0,900.0
657040.3593,960465.0,1391.9504,30.0,900.0
657040.3593,960435.0,1391.973,30.0,900.0
657040.3593,960405.0,1391.9626,30.0,900.0
657040.3593,960375.0,1391.9712,30.0,900.0
657040.3593,960345.0,1392.118,30.0,900.0
657040.3593,960315.0,1392.3313,30.0,900.0
657040.3593,960285.0,1392.5712,30.0,900.0
657040.3593,960255.0,1392.7396,30.0,900.0
657040.3593,960225.0,1393.2592,30.0,900.0
657040.3593,960195.0,1393.422,30.0,900.0
657040.3593,960165.0,1393.3846,30.0,900.0
657040.3593,960135.0,1393.3253,30.0,900.0
657040.3593,960105.0,1393.3175,30.0,900.0
657040.3593,960075.0,1392.6359,30.0,900.0
657040.3593,960045.0,1391.9188,30.0,900.0
657040.3593,960015.0,1391.1921,30.0,900.0
657040.3593,959985.0,1387.6414,30.0,900.0
657040.3593,959955.0,1387.9371,30.0,900.0
657040.3593,959925.0,1391.2216,30.0,900.0
657040.3593,959895.0,1392.2756,30.0,900.0
657040.3593,959865.0,1392.386,30.0,900.0
657040.3593,959835.0,1392.6942,30.0,900.0
657040.3593,959805.0,1393.5182,30.0,900.0
657040.3593,959775.0,1394.0056,30.0,900.0
657040.3593,959745.0,1394.0552,30.0,900.0
657040.3593,959715.0,1393.9535,30.0,900.0
657040.3593,959685.0,1393.6592,30.0,900.0
657040.3593,959655.0,1393.3376,30.0,900.0
657040.3593,959625.0,1392.8033,30.0,900.0
657040.3593,959595.0,1391.9031,30.0,900.0
657040.3593,959565.0,1391.0151,30.0,900.0
657040.3593,959535.0,1390.4392,30.0,900.0
657040.3593,959505.0,1389.7954,30.0,900.0
657040.3593,959475.0,1388.9856,30.0,900.0
657040.3593,959445.0,1388.8141,30.0,900.0
657040.3593,959415.0,1384.5071,30.0,900.0
657040.3593,959385.0,1378.8574,30.0,900.0
657040.3593,959355.0,1376.374,30.0,900.0
657040.3593,959325.0,1377.223,30.0,900.0
